village,state,district,date,report_time,patient_age_group,patient_gender,diarrhea_cases,fever_cases,vomiting_cases,stomach_pain_cases,dehydration_cases,nausea_cases,headache_cases,weakness_cases,asha_worker_id,clinic_reports,villager_self_reports,total_population,households_affected,severity_level
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-06-29,2023-06-12 12:46:00,6-18,Male,8,5,3,3,2,1,5,3,ASHA_1000,3,3,1060,30,Mild
Barpeta Village,Assam,Assam_District_3,2024-01-22,2023-12-08 06:29:00,60+,Male,2,3,4,5,0,1,2,1,ASHA_1158,2,4,1232,19,Moderate
Lawngtlai Village,Mizoram,Mizoram_District_1,2023-05-18,2023-01-19 18:09:00,19-60,Male,5,4,8,2,3,3,4,2,ASHA_6693,1,1,4302,32,Mild
Kailashahar Village,Tripura,Tripura_District_2,2023-09-20,2023-08-12 15:44:00,6-18,Male,10,6,3,8,7,1,2,7,ASHA_9462,1,3,4957,26,Mild
Khowai Village,Tripura,Tripura_District_2,2023-04-20,2023-04-18 06:19:00,19-60,Male,6,8,0,4,2,0,2,3,ASHA_8908,4,4,3161,22,Mild
Udaipur Village,Tripura,Tripura_District_2,2024-03-26,2023-12-17 11:08:00,0-5,Female,12,5,2,6,4,0,3,4,ASHA_4554,3,2,3423,38,Mild
Tura Village,Meghalaya,Meghalaya_District_1,2023-10-14,2023-06-24 16:32:00,0-5,Female,2,0,4,3,4,3,1,3,ASHA_1557,3,6,3472,14,Mild
Silchar Village,Assam,Assam_District_2,2023-04-14,2023-01-25 18:22:00,19-60,Female,8,5,4,7,4,2,3,4,ASHA_4075,0,4,1725,32,Mild
Wokha Rural,Nagaland,Nagaland_District_1,2023-09-27,2023-07-13 19:49:00,60+,Female,6,9,0,6,2,0,2,4,ASHA_7270,2,6,668,33,Severe
Thoubal Village,Manipur,Manipur_District_2,2023-11-07,2023-09-26 09:16:00,0-5,Female,7,3,3,3,2,1,5,3,ASHA_2268,0,4,3078,26,Moderate
Tamenglong Rural,Manipur,Manipur_District_1,2023-11-01,2023-09-19 19:55:00,0-5,Female,8,5,1,10,7,1,4,7,ASHA_3949,1,4,3079,22,Mild
Dimapur Village,Nagaland,Nagaland_District_1,2023-11-02,2023-07-16 14:34:00,60+,Male,11,5,1,5,4,1,3,5,ASHA_7401,4,0,3322,34,Mild
Zunheboto Village,Nagaland,Nagaland_District_1,2024-02-14,2023-11-03 06:12:00,19-60,Female,3,3,6,3,3,2,1,2,ASHA_8903,0,3,4545,29,Moderate
Kiphire Village,Nagaland,Nagaland_District_1,2023-04-17,2023-02-16 14:58:00,60+,Female,1,4,0,3,1,0,1,1,ASHA_7957,4,1,3534,17,Severe
Serchhip Village,Mizoram,Mizoram_District_1,2023-09-24,2023-08-17 14:07:00,0-5,Male,6,6,3,4,4,1,2,4,ASHA_4983,4,5,3930,20,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-12-20,2023-11-27 10:43:00,6-18,Male,3,6,5,2,3,1,2,3,ASHA_5972,3,3,3745,25,Mild
Khowai Village,Tripura,Tripura_District_3,2023-04-30,2023-04-28 19:55:00,0-5,Male,3,5,4,0,1,2,0,1,ASHA_1814,4,1,1909,22,Severe
Senapati Rural,Manipur,Manipur_District_2,2023-08-06,2023-06-09 15:54:00,19-60,Male,5,3,5,4,4,1,1,4,ASHA_9925,0,1,3678,20,Moderate
Aizawl Rural,Mizoram,Mizoram_District_2,2023-07-09,2023-05-04 11:49:00,0-5,Female,4,2,5,0,2,2,2,1,ASHA_4646,3,0,916,21,Moderate
Kiphire Village,Nagaland,Nagaland_District_3,2023-06-25,2023-04-05 07:41:00,6-18,Male,4,1,4,3,2,0,2,2,ASHA_8859,1,7,4326,15,Moderate
Imphal Rural,Manipur,Manipur_District_3,2024-01-11,2023-10-07 09:38:00,19-60,Female,3,0,8,2,3,2,0,1,ASHA_1887,3,6,1741,26,Mild
Kohima Rural,Nagaland,Nagaland_District_1,2023-05-04,2023-03-21 16:41:00,0-5,Female,3,5,5,4,3,3,3,3,ASHA_8928,2,2,2337,23,Mild
Phek Rural,Nagaland,Nagaland_District_2,2023-09-06,2023-08-17 17:12:00,6-18,Female,4,21,0,2,1,1,9,7,ASHA_4200,0,4,2452,40,Moderate
Kiphire Village,Nagaland,Nagaland_District_3,2023-11-22,2023-08-13 15:38:00,0-5,Male,12,9,7,9,9,5,4,8,ASHA_3958,4,6,1456,39,Moderate
Nagaon Rural,Assam,Assam_District_2,2023-07-30,2023-04-30 13:28:00,19-60,Male,1,2,8,1,3,6,1,0,ASHA_8554,1,0,3104,26,Mild
Tezpur Rural,Assam,Assam_District_1,2024-02-19,2023-12-17 11:08:00,0-5,Female,2,3,2,2,1,3,1,1,ASHA_9766,1,7,4338,22,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-06-05,2023-05-31 19:36:00,0-5,Female,4,4,4,1,0,1,3,2,ASHA_3168,2,0,3399,18,Mild
Champhai Rural,Mizoram,Mizoram_District_2,2023-02-26,2023-01-01 10:23:00,6-18,Male,1,7,2,3,1,1,2,2,ASHA_1878,4,6,4384,21,Mild
Agartala Rural,Tripura,Tripura_District_3,2023-10-09,2023-07-27 09:46:00,0-5,Male,7,10,1,4,3,1,3,5,ASHA_9057,0,7,4423,33,Moderate
Amarpur Village,Tripura,Tripura_District_3,2023-12-21,2023-09-09 14:26:00,6-18,Female,1,13,3,1,0,1,6,4,ASHA_4975,4,6,2602,30,Moderate
Tezpur Rural,Assam,Assam_District_2,2023-07-22,2023-05-22 16:06:00,19-60,Male,5,4,1,2,1,1,0,1,ASHA_1595,4,3,4644,17,Mild
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-11-08,2023-09-13 11:15:00,6-18,Female,8,4,6,7,7,3,1,5,ASHA_4023,4,0,739,35,Moderate
Champhai Rural,Mizoram,Mizoram_District_1,2023-05-05,2023-03-20 18:22:00,0-5,Male,0,5,5,2,1,2,4,1,ASHA_9741,0,6,1945,17,Moderate
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-03-24,2023-02-02 09:28:00,60+,Female,0,2,3,1,2,3,1,1,ASHA_2997,3,1,3907,24,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-01-30,2023-01-28 12:37:00,19-60,Male,2,0,4,1,2,2,1,0,ASHA_3062,0,1,2014,21,Moderate
Zunheboto Village,Nagaland,Nagaland_District_1,2023-02-07,2023-01-25 15:11:00,19-60,Female,1,0,5,1,1,1,0,0,ASHA_5586,1,2,2830,15,Mild
Gyalshing Rural,Sikkim,Sikkim_District_1,2023-04-29,2023-01-29 15:29:00,0-5,Male,4,5,1,0,0,0,2,2,ASHA_2001,3,4,978,17,Mild
Shillong Rural,Meghalaya,Meghalaya_District_3,2023-04-27,2023-03-14 18:35:00,0-5,Female,1,0,6,2,3,2,1,1,ASHA_1653,0,4,1015,25,Mild
Champhai Rural,Mizoram,Mizoram_District_1,2024-03-15,2023-12-04 14:34:00,0-5,Male,0,0,0,2,1,0,1,1,ASHA_8209,4,1,880,12,Mild
Tezpur Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-12-24,2023-11-06 09:00:00,60+,Female,8,3,0,5,4,1,2,4,ASHA_5109,1,6,1207,27,Mild
Agartala Rural,Tripura,Tripura_District_1,2024-01-01,2023-09-04 14:13:00,19-60,Male,3,5,10,2,4,6,2,3,ASHA_4169,4,7,3132,35,Moderate
Amarpur Village,Tripura,Tripura_District_1,2023-10-06,2023-09-14 14:31:00,60+,Female,0,4,11,1,3,6,2,2,ASHA_2318,2,2,3026,20,Mild
Kailashahar Village,Tripura,Tripura_District_1,2023-09-07,2023-08-15 12:42:00,19-60,Male,2,5,5,2,3,3,3,3,ASHA_8362,0,0,4971,26,Moderate
Shillong Rural,Meghalaya,Meghalaya_District_3,2023-07-04,2023-04-25 06:49:00,0-5,Male,3,2,3,1,1,1,0,1,ASHA_7145,2,5,2606,17,Severe
Singtam Village,Sikkim,Sikkim_District_1,2023-04-25,2023-01-19 14:56:00,6-18,Female,6,2,4,4,3,0,2,3,ASHA_8997,1,7,3656,30,Moderate
Serchhip Village,Mizoram,Mizoram_District_2,2023-08-02,2023-07-15 16:24:00,0-5,Female,12,11,2,9,7,1,6,9,ASHA_8177,0,2,1775,32,Mild
Senapati Rural,Manipur,Manipur_District_3,2023-04-18,2023-02-17 10:44:00,19-60,Female,3,0,2,2,3,3,1,2,ASHA_1527,1,3,3388,9,Mild
Tawang Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-07-17,2023-06-20 07:42:00,6-18,Male,13,4,6,7,7,3,4,7,ASHA_1148,3,6,4185,37,Severe
Mokokchung Rural,Nagaland,Nagaland_District_3,2023-04-18,2023-01-20 17:18:00,0-5,Male,4,4,3,2,1,1,2,2,ASHA_3195,2,5,2242,23,Mild
Resubelpara Rural,Meghalaya,Meghalaya_District_1,2023-06-01,2023-03-26 10:26:00,19-60,Male,0,4,2,1,2,3,3,2,ASHA_2321,1,1,1448,18,Moderate
Barpeta Village,Assam,Assam_District_1,2023-06-20,2023-04-03 10:42:00,60+,Female,6,2,3,5,3,1,0,2,ASHA_9131,0,4,4217,19,Severe
Jiribam Village,Manipur,Manipur_District_3,2023-09-18,2023-08-16 12:28:00,6-18,Female,4,3,3,1,2,1,2,2,ASHA_9963,4,6,1501,21,Mild
Zunheboto Village,Nagaland,Nagaland_District_1,2023-12-08,2023-11-03 11:12:00,19-60,Female,6,2,2,1,1,0,3,2,ASHA_1961,1,1,1362,29,Mild
Champhai Rural,Mizoram,Mizoram_District_1,2024-01-13,2023-10-28 18:38:00,6-18,Male,1,3,5,1,2,3,2,1,ASHA_1896,4,2,4576,25,Severe
Barpeta Village,Assam,Assam_District_1,2023-04-23,2023-03-12 15:14:00,19-60,Male,4,2,1,1,1,2,3,1,ASHA_9191,4,0,738,26,Moderate
Aizawl Rural,Mizoram,Mizoram_District_3,2023-09-29,2023-07-08 19:44:00,19-60,Male,13,7,8,8,8,3,2,6,ASHA_6440,3,5,1058,37,Mild
Jiribam Village,Manipur,Manipur_District_1,2023-01-27,2023-01-08 13:40:00,0-5,Male,8,3,4,6,3,2,2,2,ASHA_4762,3,3,3220,32,Moderate
Tamenglong Rural,Manipur,Manipur_District_3,2023-12-01,2023-10-26 14:52:00,0-5,Female,7,1,3,3,3,1,1,1,ASHA_4615,0,1,2870,21,Mild
Tezpur Rural,Assam,Assam_District_1,2023-12-25,2023-12-12 16:32:00,19-60,Female,3,10,2,0,3,5,3,2,ASHA_4874,1,4,1742,33,Mild
Agartala Rural,Tripura,Tripura_District_3,2023-10-31,2023-10-20 08:02:00,60+,Female,3,4,1,2,1,1,2,2,ASHA_1398,1,0,3434,25,Mild
Jiribam Village,Manipur,Manipur_District_3,2023-04-30,2023-03-29 07:12:00,0-5,Female,2,5,5,1,1,1,2,1,ASHA_3040,4,1,1089,18,Mild
Rangpo Rural,Sikkim,Sikkim_District_1,2023-08-05,2023-06-07 16:56:00,19-60,Female,9,5,12,7,8,7,2,4,ASHA_4658,2,6,2309,45,Mild
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-05-05,2023-04-17 15:39:00,60+,Female,9,5,3,6,3,1,3,3,ASHA_5142,1,2,1913,30,Moderate
Tezpur Rural,Assam,Assam_District_2,2023-09-09,2023-08-28 18:21:00,19-60,Female,4,4,13,2,6,7,1,2,ASHA_6290,0,7,3395,37,Mild
Aizawl Rural,Mizoram,Mizoram_District_1,2024-01-24,2023-10-11 14:10:00,6-18,Female,7,5,5,8,4,0,4,5,ASHA_2570,4,6,3882,30,Mild
Thoubal Village,Manipur,Manipur_District_2,2023-10-27,2023-08-26 14:42:00,19-60,Male,4,1,4,3,4,3,0,2,ASHA_4965,1,2,2213,16,Mild
Teliamura Rural,Tripura,Tripura_District_2,2023-11-17,2023-08-23 13:11:00,0-5,Male,1,5,6,3,4,5,3,3,ASHA_3766,0,5,1633,31,Moderate
Tamenglong Rural,Manipur,Manipur_District_3,2023-12-06,2023-09-10 07:56:00,19-60,Male,5,7,6,3,4,7,3,3,ASHA_7118,2,5,1625,23,Mild
Jorethang Rural,Sikkim,Sikkim_District_3,2023-03-07,2023-02-22 11:50:00,19-60,Male,5,5,2,4,4,2,2,2,ASHA_1661,1,1,4918,28,Moderate
Dharmanagar Rural,Tripura,Tripura_District_1,2023-06-10,2023-03-28 06:22:00,19-60,Male,5,8,0,0,1,1,5,2,ASHA_3301,0,2,4674,20,Mild
Khliehriat Village,Meghalaya,Meghalaya_District_2,2023-08-25,2023-05-14 09:54:00,19-60,Female,2,3,4,4,3,1,0,2,ASHA_2185,3,5,2925,25,Mild
Nongpoh Village,Meghalaya,Meghalaya_District_3,2023-09-03,2023-07-11 14:14:00,0-5,Female,7,5,8,4,6,4,3,4,ASHA_1259,3,1,3749,30,Moderate
Kailashahar Village,Tripura,Tripura_District_3,2024-03-12,2023-11-30 18:55:00,6-18,Male,7,4,7,4,3,2,3,3,ASHA_1521,1,4,4283,25,Mild
Dharmanagar Rural,Tripura,Tripura_District_3,2023-08-17,2023-04-26 17:19:00,60+,Male,2,3,3,5,3,1,1,3,ASHA_4139,4,0,1102,15,Mild
Lunglei Village,Mizoram,Mizoram_District_1,2023-03-18,2023-01-11 12:36:00,19-60,Male,10,7,8,3,3,2,2,3,ASHA_2549,2,4,2793,34,Mild
Namchi Village,Sikkim,Sikkim_District_2,2023-02-12,2023-01-30 10:52:00,0-5,Male,4,7,4,3,3,2,3,2,ASHA_5435,0,7,941,33,Severe
Nagaon Rural,Assam,Assam_District_1,2023-10-25,2023-08-12 12:58:00,19-60,Male,17,7,3,9,9,3,4,9,ASHA_7152,3,7,1207,43,Mild
Nongpoh Village,Meghalaya,Meghalaya_District_1,2024-03-03,2023-11-19 07:49:00,0-5,Female,4,0,4,1,1,0,1,1,ASHA_4893,3,7,4680,22,Mild
Kolasib Rural,Mizoram,Mizoram_District_3,2024-01-13,2023-11-05 08:36:00,0-5,Male,4,6,0,3,0,0,2,1,ASHA_4360,3,6,3588,24,Moderate
Dibrugarh Rural,Assam,Assam_District_3,2024-02-13,2023-11-09 19:21:00,60+,Male,4,7,5,1,3,3,4,3,ASHA_8354,2,7,1704,26,Severe
Tuensang Village,Nagaland,Nagaland_District_3,2024-01-07,2023-11-04 11:40:00,0-5,Male,9,7,8,3,4,5,2,3,ASHA_4071,2,3,1735,42,Mild
Dimapur Village,Nagaland,Nagaland_District_2,2023-03-16,2023-01-25 19:34:00,0-5,Male,4,2,3,2,2,1,0,1,ASHA_2048,4,4,3450,17,Mild
Saitual Rural,Mizoram,Mizoram_District_1,2023-08-23,2023-05-02 10:29:00,0-5,Male,8,4,4,3,3,2,1,2,ASHA_5075,4,0,631,35,Mild
Tawang Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-12-13,2023-11-24 11:03:00,0-5,Female,6,2,0,4,1,0,1,2,ASHA_8027,4,7,3708,18,Moderate
Mangan Village,Sikkim,Sikkim_District_2,2023-03-27,2023-02-01 11:43:00,19-60,Male,6,5,2,3,1,0,2,1,ASHA_6413,0,2,741,22,Mild
Dharmanagar Rural,Tripura,Tripura_District_1,2023-12-09,2023-11-20 14:47:00,6-18,Male,4,5,5,2,1,1,2,1,ASHA_6865,3,6,3553,25,Mild
Serchhip Village,Mizoram,Mizoram_District_1,2024-02-05,2023-11-19 18:48:00,6-18,Male,1,0,5,4,3,2,3,2,ASHA_1971,3,0,2625,21,Mild
Mokokchung Rural,Nagaland,Nagaland_District_2,2024-01-26,2023-10-08 12:35:00,6-18,Male,9,4,2,2,2,2,4,2,ASHA_8398,0,2,4912,30,Mild
Singtam Village,Sikkim,Sikkim_District_1,2023-08-04,2023-04-07 08:17:00,60+,Female,1,6,0,2,1,0,2,1,ASHA_9414,0,1,3058,23,Moderate
Serchhip Village,Mizoram,Mizoram_District_1,2023-04-04,2023-03-07 09:37:00,0-5,Female,5,3,6,1,3,4,3,1,ASHA_1461,2,2,3106,19,Mild
Bishnupur Rural,Manipur,Manipur_District_3,2023-12-22,2023-09-26 18:45:00,6-18,Female,6,2,4,3,3,1,1,3,ASHA_9988,4,1,2808,18,Mild
Jorhat Village,Assam,Assam_District_2,2023-04-24,2023-01-09 18:51:00,6-18,Female,7,7,3,3,2,0,4,3,ASHA_6757,4,7,2018,34,Moderate
Lawngtlai Village,Mizoram,Mizoram_District_1,2023-09-04,2023-05-27 15:22:00,6-18,Female,6,4,0,4,3,0,0,3,ASHA_7479,1,5,3184,29,Moderate
Gangtok Rural,Sikkim,Sikkim_District_3,2023-12-08,2023-10-09 17:59:00,0-5,Female,4,3,0,2,1,0,3,2,ASHA_9849,4,1,723,13,Moderate
Hnahthial Village,Mizoram,Mizoram_District_2,2023-08-09,2023-07-19 07:08:00,6-18,Female,6,4,5,3,3,1,1,3,ASHA_3342,4,7,1462,33,Moderate
Shillong Rural,Meghalaya,Meghalaya_District_1,2023-11-08,2023-09-14 15:06:00,0-5,Male,14,4,4,8,7,3,4,6,ASHA_8452,1,6,813,30,Severe
Jiribam Village,Manipur,Manipur_District_3,2023-05-04,2023-01-31 16:19:00,0-5,Male,3,3,2,1,0,1,2,2,ASHA_8505,3,4,2794,27,Mild
Tamenglong Rural,Manipur,Manipur_District_1,2023-12-31,2023-10-18 19:06:00,0-5,Male,3,2,0,0,0,0,0,0,ASHA_2849,0,5,790,24,Moderate
Khowai Village,Tripura,Tripura_District_2,2024-01-10,2023-11-24 19:33:00,0-5,Male,0,2,0,0,0,0,1,0,ASHA_3986,1,7,4706,16,Moderate
Tura Village,Meghalaya,Meghalaya_District_3,2023-05-03,2023-04-07 19:52:00,0-5,Female,5,2,3,2,2,0,2,2,ASHA_6609,1,6,4788,17,Mild
Jowai Rural,Meghalaya,Meghalaya_District_1,2023-08-26,2023-06-09 19:44:00,0-5,Female,7,2,13,5,6,5,1,3,ASHA_4286,2,3,2775,38,Mild
Aizawl Rural,Mizoram,Mizoram_District_1,2023-06-04,2023-04-14 11:24:00,6-18,Male,4,0,5,4,2,1,0,1,ASHA_3590,3,0,4897,14,Mild
Agartala Rural,Tripura,Tripura_District_3,2024-02-13,2023-12-18 07:52:00,0-5,Male,6,4,2,4,2,1,2,2,ASHA_8840,4,1,2142,21,Moderate
Barpeta Village,Assam,Assam_District_2,2023-07-25,2023-04-04 19:11:00,0-5,Male,9,0,4,6,5,1,1,4,ASHA_4941,2,3,4764,27,Moderate
Champhai Rural,Mizoram,Mizoram_District_2,2023-07-23,2023-07-21 16:48:00,6-18,Female,6,1,0,4,3,1,4,3,ASHA_6568,2,6,4295,12,Mild
Thoubal Village,Manipur,Manipur_District_2,2023-10-16,2023-09-17 12:50:00,0-5,Male,9,0,1,4,3,2,2,3,ASHA_6762,3,7,4015,20,Moderate
Pakyong Village,Sikkim,Sikkim_District_2,2023-09-16,2023-05-29 16:57:00,6-18,Male,1,7,0,2,1,0,2,3,ASHA_5978,4,4,4185,24,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-05-14,2023-01-24 10:57:00,0-5,Male,3,1,7,0,1,1,2,2,ASHA_5287,2,4,4432,16,Mild
Serchhip Village,Mizoram,Mizoram_District_1,2023-10-16,2023-09-10 14:39:00,19-60,Male,4,3,6,5,3,1,3,3,ASHA_4138,2,2,2753,22,Severe
Belonia Rural,Tripura,Tripura_District_1,2023-05-24,2023-01-25 09:16:00,0-5,Female,1,5,3,1,1,1,0,1,ASHA_7289,2,6,1503,13,Mild
Champhai Rural,Mizoram,Mizoram_District_1,2023-08-23,2023-07-28 09:34:00,6-18,Female,7,4,4,3,3,1,1,2,ASHA_2383,4,4,941,29,Severe
Nagaon Rural,Assam,Assam_District_2,2023-11-08,2023-11-01 15:25:00,0-5,Male,6,0,0,2,1,0,1,1,ASHA_4358,1,1,4463,11,Moderate
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-02-10,2023-01-04 14:22:00,60+,Male,11,2,2,4,4,0,0,3,ASHA_2906,3,7,3447,23,Moderate
Gyalshing Rural,Sikkim,Sikkim_District_3,2023-08-30,2023-06-27 09:07:00,19-60,Male,3,3,5,2,1,0,3,3,ASHA_7521,1,3,2919,23,Mild
Imphal Rural,Manipur,Manipur_District_2,2023-05-29,2023-05-28 12:48:00,0-5,Male,4,1,2,0,1,1,1,1,ASHA_5176,2,0,3534,14,Moderate
Zunheboto Village,Nagaland,Nagaland_District_2,2023-12-26,2023-12-05 18:51:00,19-60,Male,4,3,0,0,0,1,1,1,ASHA_4731,0,7,2298,14,Moderate
Agartala Rural,Tripura,Tripura_District_1,2023-07-12,2023-04-08 16:12:00,19-60,Male,11,3,0,7,6,1,0,4,ASHA_9667,1,0,4202,31,Mild
Naharlagun Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-05-15,2023-03-02 19:17:00,0-5,Male,3,3,7,2,3,2,0,2,ASHA_6803,1,1,4379,29,Mild
Rangpo Rural,Sikkim,Sikkim_District_1,2023-08-30,2023-06-18 13:18:00,19-60,Female,2,10,1,3,1,2,9,5,ASHA_4566,2,0,3056,18,Mild
Udaipur Village,Tripura,Tripura_District_3,2023-07-17,2023-03-21 18:19:00,0-5,Male,7,3,0,4,3,2,2,2,ASHA_8775,0,0,925,27,Moderate
Barpeta Village,Assam,Assam_District_2,2023-02-20,2023-01-23 17:47:00,0-5,Female,5,0,3,4,3,3,2,2,ASHA_8522,1,4,725,19,Mild
Shillong Rural,Meghalaya,Meghalaya_District_2,2024-03-10,2023-11-24 08:45:00,0-5,Female,2,2,2,2,3,2,2,2,ASHA_8439,2,2,3494,12,Mild
Singtam Village,Sikkim,Sikkim_District_3,2024-01-05,2023-11-23 12:49:00,0-5,Female,0,4,4,1,3,2,4,3,ASHA_4929,3,1,1776,26,Mild
Tuensang Village,Nagaland,Nagaland_District_1,2023-12-13,2023-08-24 10:08:00,6-18,Male,15,5,6,9,9,3,3,8,ASHA_4791,3,7,1915,35,Mild
Saitual Rural,Mizoram,Mizoram_District_3,2023-08-28,2023-05-26 19:05:00,6-18,Male,1,5,3,0,1,2,3,2,ASHA_2845,0,4,4836,18,Moderate
Tezpur Village,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-12-28,2023-12-02 07:29:00,0-5,Female,4,5,5,2,2,1,6,2,ASHA_2449,4,6,1009,20,Mild
Saitual Rural,Mizoram,Mizoram_District_3,2023-03-09,2023-02-12 06:57:00,60+,Female,8,2,3,2,2,1,3,2,ASHA_7849,2,0,2029,31,Mild
Roing Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-04-29,2023-02-23 13:28:00,6-18,Female,1,1,7,2,3,3,1,1,ASHA_4680,4,5,4904,17,Mild
Williamnagar Village,Meghalaya,Meghalaya_District_1,2023-06-07,2023-04-08 12:46:00,60+,Female,4,3,1,2,2,0,2,2,ASHA_9863,2,0,3471,21,Mild
Naharlagun Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-09-30,2023-09-02 17:22:00,6-18,Female,8,6,12,4,6,3,2,5,ASHA_6242,3,0,1750,33,Mild
Amarpur Village,Tripura,Tripura_District_2,2023-10-03,2023-09-02 18:03:00,6-18,Male,9,10,5,4,6,4,5,7,ASHA_2821,0,1,2424,42,Mild
Tamenglong Rural,Manipur,Manipur_District_2,2023-10-22,2023-07-06 06:04:00,6-18,Female,8,11,4,4,4,3,5,6,ASHA_3485,0,6,2801,39,Moderate
Kohima Rural,Nagaland,Nagaland_District_2,2023-08-12,2023-05-14 08:13:00,19-60,Female,2,4,0,2,1,1,0,2,ASHA_1140,4,1,3683,18,Mild
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-07-02,2023-06-09 12:20:00,0-5,Female,5,0,6,1,3,3,0,1,ASHA_5436,3,1,2081,20,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2024-02-26,2023-12-01 10:09:00,6-18,Female,6,5,0,5,1,0,2,2,ASHA_2341,0,6,4814,25,Mild
Resubelpara Rural,Meghalaya,Meghalaya_District_2,2023-03-07,2023-02-16 18:57:00,0-5,Female,4,4,3,2,2,0,0,2,ASHA_5284,2,0,2723,22,Moderate
Hnahthial Village,Mizoram,Mizoram_District_2,2023-08-02,2023-06-10 10:24:00,6-18,Female,6,8,0,4,2,0,7,6,ASHA_9986,2,1,2609,33,Mild
Khliehriat Village,Meghalaya,Meghalaya_District_3,2023-07-15,2023-07-13 17:58:00,60+,Male,15,5,6,10,9,6,1,6,ASHA_5833,3,6,3020,40,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2024-03-09,2023-12-22 13:57:00,0-5,Male,4,1,0,3,1,0,2,2,ASHA_7227,0,5,4788,9,Moderate
Guwahati Rural,Assam,Assam_District_1,2023-09-28,2023-09-06 11:38:00,0-5,Female,5,3,8,2,4,5,2,2,ASHA_9732,2,0,2166,33,Mild
Teliamura Rural,Tripura,Tripura_District_1,2023-08-16,2023-07-18 17:13:00,19-60,Female,5,4,10,1,4,7,3,3,ASHA_7266,3,3,2130,26,Mild
Naharlagun Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-10-19,2023-09-26 12:31:00,0-5,Male,4,11,16,5,7,8,2,4,ASHA_6051,0,6,2666,39,Mild
Lawngtlai Village,Mizoram,Mizoram_District_3,2023-04-17,2023-03-26 08:52:00,19-60,Male,9,2,0,6,3,0,2,4,ASHA_8848,2,2,1896,21,Mild
Silchar Village,Assam,Assam_District_1,2023-06-13,2023-06-03 14:39:00,19-60,Male,6,3,1,2,1,1,2,2,ASHA_3552,1,6,4097,17,Moderate
Aizawl Rural,Mizoram,Mizoram_District_1,2023-12-16,2023-10-11 14:10:00,6-18,Female,11,4,0,8,4,0,4,5,ASHA_2570,4,6,3882,34,Mild
Silchar Village,Assam,Assam_District_3,2023-12-07,2023-08-25 12:59:00,0-5,Male,10,15,4,11,8,3,8,11,ASHA_9870,2,5,1405,48,Mild
Phek Rural,Nagaland,Nagaland_District_2,2023-09-28,2023-08-23 10:07:00,6-18,Male,9,0,2,5,4,2,0,3,ASHA_7830,2,7,863,17,Mild
Thoubal Village,Manipur,Manipur_District_1,2023-06-08,2023-03-07 09:15:00,6-18,Male,5,2,5,2,3,2,1,2,ASHA_7512,2,5,2092,21,Mild
Jowai Rural,Meghalaya,Meghalaya_District_2,2023-12-31,2023-10-27 13:53:00,0-5,Male,0,0,0,1,0,0,3,2,ASHA_2724,4,7,2175,9,Moderate
Tura Village,Meghalaya,Meghalaya_District_3,2023-08-03,2023-07-03 07:07:00,6-18,Male,6,9,5,5,2,0,5,5,ASHA_2596,2,4,2731,34,Mild
Mangan Village,Sikkim,Sikkim_District_3,2023-12-21,2023-12-13 08:01:00,6-18,Female,0,4,3,1,1,1,2,1,ASHA_6182,0,0,3352,20,Mild
Dibrugarh Rural,Assam,Assam_District_3,2024-02-11,2023-11-09 19:21:00,60+,Male,5,8,4,1,3,3,4,3,ASHA_8354,2,7,1704,31,Severe
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-12-17,2023-12-14 15:09:00,19-60,Female,6,5,4,4,4,2,0,2,ASHA_5489,3,2,3290,19,Mild
Khliehriat Village,Meghalaya,Meghalaya_District_1,2023-12-12,2023-10-22 14:03:00,0-5,Male,4,5,2,4,4,1,2,4,ASHA_3842,0,5,1189,23,Mild
Tura Village,Meghalaya,Meghalaya_District_1,2023-01-06,2023-01-01 19:23:00,6-18,Male,3,5,9,0,3,5,2,1,ASHA_3454,4,6,3190,24,Moderate
