village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Jorethang Rural,Sikkim,2024-01-14,WS_20430,Pond,27.240035,90.079429,5.96,30.538,1695.078,351.0,2.6,58.5,19.16,1.23,0.19,0.6,0.035,Water Testing Kit,Agency_9,0,High,
Pakyong Village,Sikkim,2023-10-29,WS_17550,Piped Supply,27.558331,92.6676,7.55,3.601,29.838,95.0,7.1,17.9,2.12,0.004,1.44,1.41,0.027,IoT Sensor,Agency_6,1,Safe,
Mokokchung Rural,Nagaland,2023-07-12,WS_67427,River,25.24159,88.271535,8.84,5.292,31.762,19.0,6.5,35.3,2.89,0.03,0.0,1.34,0.037,Water Testing Kit,Agency_3,1,Safe,
Zunheboto Village,Nagaland,2023-06-25,WS_64469,Pond,26.65289,88.424479,6.86,2.945,33.205,54.0,7.4,35.9,0.49,0.011,1.76,0.3,0.007,Lab Analysis,Agency_2,1,Safe,
Jowai Rural,Meghalaya,2023-07-03,WS_97426,Piped Supply,26.501383,89.87282,6.74,6.687,37.271,39.0,5.9,15.3,1.6,0.037,0.4,0.89,0.033,Water Testing Kit,Agency_8,0,Safe,
Ziro Village,Arunachal Pradesh,2024-01-23,WS_49437,River,28.819213,96.851426,8.2,3.087,38.755,62.0,5.9,5.8,0.49,0.001,0.69,0.22,0.009,Water Testing Kit,Agency_6,1,Safe,
Agartala Rural,Tripura,2024-02-08,WS_93071,Well,28.790696,93.084739,6.59,8.26,45.532,25.0,5.6,5.6,1.53,0.013,1.23,1.4,0.029,Lab Analysis,Agency_4,0,Safe,42.0
Imphal Rural,Manipur,2023-10-07,WS_91803,Well,23.026018,96.541342,8.39,2.683,21.464,32.0,7.1,21.1,2.66,0.025,0.04,0.13,0.011,IoT Sensor,Agency_4,1,Safe,174.0
Baghmara Rural,Meghalaya,2023-04-19,WS_79566,Piped Supply,25.17389,89.566645,7.52,3.421,4.219,20.0,5.3,22.9,1.87,0.019,1.85,0.62,0.013,Water Testing Kit,Agency_8,1,Safe,
Lawngtlai Village,Mizoram,2023-08-02,WS_58067,Piped Supply,25.768606,92.07989,7.81,1.19,9.744,38.0,7.0,10.1,1.36,0.007,0.86,0.81,0.05,IoT Sensor,Agency_6,1,Safe,
Kolasib Rural,Mizoram,2023-08-31,WS_42463,River,25.840146,91.289334,5.3,108.249,1872.089,3490.0,3.5,65.4,14.48,0.26,0.32,1.07,0.045,IoT Sensor,Agency_1,0,High,
Imphal Rural,Manipur,2023-04-29,WS_44645,Piped Supply,27.407595,90.472106,6.29,2.942,20.047,81.0,8.0,3.8,0.98,0.013,1.74,0.33,0.024,Water Testing Kit,Agency_6,1,Safe,
Tawang Rural,Arunachal Pradesh,2023-05-30,WS_27304,Piped Supply,27.508513,96.230152,6.0,59.588,634.157,2156.0,3.1,91.3,8.47,1.5,1.83,1.15,0.046,Lab Analysis,Agency_2,0,High,
Hnahthial Village,Mizoram,2023-09-01,WS_76415,Well,27.181261,93.4193,7.85,6.467,15.092,40.0,6.0,3.1,0.61,0.05,1.49,0.98,0.011,IoT Sensor,Agency_1,0,Safe,29.0
Resubelpara Rural,Meghalaya,2023-02-18,WS_73163,Tube Well,23.329248,91.777309,7.41,0.123,5.178,74.0,6.3,6.7,1.29,0.002,1.17,1.15,0.004,Water Testing Kit,Agency_2,1,Safe,63.0
Aizawl Rural,Mizoram,2023-03-31,WS_70385,Piped Supply,24.304507,88.006007,6.84,3.722,2.968,58.0,6.3,17.1,1.73,0.029,2.0,0.63,0.014,Water Testing Kit,Agency_5,1,Safe,
Kohima Rural,Nagaland,2023-05-04,WS_53710,Well,26.310695,89.599896,7.93,3.475,18.224,48.0,6.2,22.9,0.93,0.021,0.48,0.28,0.029,Lab Analysis,Agency_3,1,Safe,148.0
Gyalshing Rural,Sikkim,2023-04-08,WS_90899,Spring,23.665709,93.850573,8.46,8.138,16.901,33.0,6.3,19.6,0.19,0.04,1.65,0.18,0.003,IoT Sensor,Agency_9,0,Safe,
Nongpoh Village,Meghalaya,2023-08-11,WS_96083,Well,24.499531,94.249255,5.3,97.729,1687.005,3963.0,2.0,143.4,19.16,0.72,1.64,1.45,0.031,Water Testing Kit,Agency_8,0,High,111.0
Gangtok Rural,Sikkim,2023-10-11,WS_37351,Well,26.01739,90.976101,6.54,9.355,39.39,17.0,6.7,16.9,2.51,0.006,0.55,0.26,0.015,Water Testing Kit,Agency_6,0,Safe,171.0
Jiribam Village,Manipur,2023-09-16,WS_21276,Piped Supply,28.005292,89.853436,8.02,2.586,55.111,63.0,5.5,25.5,2.69,0.014,1.22,0.79,0.027,Water Testing Kit,Agency_7,1,Safe,
Senapati Rural,Manipur,2023-05-24,WS_53620,Well,23.821502,93.607398,6.87,9.361,71.513,57.0,6.9,34.1,2.75,0.012,0.7,1.33,0.017,IoT Sensor,Agency_9,0,Safe,95.0
Kailashahar Village,Tripura,2023-03-13,WS_26636,Piped Supply,25.384116,90.364148,6.47,108.994,692.872,2691.0,2.5,100.1,20.19,1.35,1.09,0.86,0.038,Lab Analysis,Agency_3,0,High,
Bishnupur Rural,Manipur,2023-05-22,WS_70264,Pond,25.967651,92.876941,8.77,2.99,43.237,83.0,6.3,7.6,1.77,0.014,0.21,0.51,0.031,Water Testing Kit,Agency_5,1,Safe,
Naharlagun Village,Arunachal Pradesh,2023-11-20,WS_51938,Pond,24.519828,96.211555,5.39,74.025,1667.059,318.0,2.8,144.5,17.86,1.29,0.18,0.96,0.028,Lab Analysis,Agency_1,0,High,
Jorethang Rural,Sikkim,2023-09-01,WS_91603,River,24.76271,94.076212,5.4,125.446,1425.476,243.0,3.1,137.5,8.16,1.45,1.72,1.13,0.031,IoT Sensor,Agency_8,0,High,
Serchhip Village,Mizoram,2023-11-11,WS_33617,Piped Supply,24.262384,96.908211,8.41,1.244,27.075,58.0,7.7,4.1,2.07,0.047,1.57,0.23,0.024,Water Testing Kit,Agency_7,1,Safe,
Lunglei Village,Mizoram,2023-11-08,WS_62402,Well,27.313009,89.939083,8.57,4.057,15.266,2.0,8.4,6.6,0.13,0.024,1.55,0.44,0.013,IoT Sensor,Agency_8,1,Safe,160.0
Wokha Rural,Nagaland,2023-06-28,WS_25387,Pond,25.336314,96.454323,8.34,5.836,63.01,5.0,8.1,6.5,1.02,0.036,1.48,1.04,0.021,IoT Sensor,Agency_6,0,Safe,
Pasighat Rural,Arunachal Pradesh,2023-04-19,WS_25456,Spring,23.426168,96.294463,8.5,8.449,37.588,20.0,8.0,0.3,0.27,0.014,0.02,1.1,0.047,IoT Sensor,Agency_9,0,Safe,
Gyalshing Rural,Sikkim,2023-10-01,WS_34845,River,27.822282,91.234782,5.3,48.151,625.661,2381.0,3.6,197.5,11.25,1.95,0.42,0.41,0.042,Water Testing Kit,Agency_6,0,High,
Dibrugarh Rural,Assam,2023-09-14,WS_19319,Tube Well,27.714422,91.45469,6.62,6.521,44.879,69.0,5.3,31.4,1.81,0.043,1.77,1.1,0.03,IoT Sensor,Agency_4,0,Safe,159.0
Serchhip Village,Mizoram,2023-11-13,WS_25745,Piped Supply,26.133234,90.577747,7.3,5.316,42.744,49.0,5.7,13.2,0.08,0.034,1.51,0.64,0.033,IoT Sensor,Agency_5,1,Safe,
Gyalshing Rural,Sikkim,2023-08-18,WS_76116,Well,28.475543,91.83957,8.53,6.99,21.973,12.0,8.9,3.2,2.93,0.015,1.7,0.36,0.023,Lab Analysis,Agency_1,0,Safe,141.0
Jorhat Village,Assam,2023-11-30,WS_20425,Piped Supply,28.378315,88.303734,7.29,6.598,1.411,86.0,8.5,22.7,0.05,0.019,1.75,1.19,0.026,Water Testing Kit,Agency_5,0,Safe,
Jorethang Rural,Sikkim,2023-07-04,WS_91603,River,24.76271,94.076212,5.3,119.28,1407.106,243.0,3.1,137.5,8.16,1.45,1.72,1.13,0.031,IoT Sensor,Agency_8,0,High,
Saitual Rural,Mizoram,2023-05-02,WS_58570,Well,26.421909,95.279153,7.03,1.73,69.014,56.0,6.2,43.3,2.12,0.027,1.0,0.63,0.017,IoT Sensor,Agency_4,1,Safe,17.0
Guwahati Rural,Assam,2023-03-23,WS_22693,Tube Well,25.759427,88.173136,8.65,2.568,47.224,2.0,6.5,3.6,1.1,0.019,0.81,0.43,0.005,IoT Sensor,Agency_9,1,Safe,119.0
Dimapur Village,Nagaland,2023-08-21,WS_33553,Piped Supply,25.032271,90.414561,8.31,4.417,60.398,98.0,7.7,11.7,0.81,0.038,1.57,0.42,0.014,IoT Sensor,Agency_6,1,Safe,
Khliehriat Village,Meghalaya,2023-09-14,WS_56254,Tube Well,26.519878,96.061292,7.2,4.652,16.126,96.0,6.4,17.1,1.41,0.011,1.23,0.73,0.036,IoT Sensor,Agency_8,1,Safe,176.0
Jorethang Rural,Sikkim,2023-05-09,WS_18884,Piped Supply,23.629628,91.066344,5.34,91.258,2518.437,3820.0,2.3,157.8,15.75,1.65,0.38,0.95,0.033,Water Testing Kit,Agency_5,0,High,
Imphal Rural,Manipur,2023-03-31,WS_65571,Tube Well,26.659427,91.200364,6.92,4.682,16.868,71.0,7.2,15.3,0.99,0.006,1.67,0.73,0.04,IoT Sensor,Agency_5,1,Safe,140.0
Churachandpur Village,Manipur,2023-06-16,WS_88598,River,27.697826,91.969571,6.61,8.546,9.7,63.0,7.4,13.7,1.29,0.006,0.87,0.79,0.004,IoT Sensor,Agency_6,0,Safe,
Tamenglong Rural,Manipur,2023-08-10,WS_50223,Well,23.840267,96.650519,7.69,4.451,38.106,76.0,7.8,29.6,2.15,0.039,1.22,0.01,0.04,IoT Sensor,Agency_1,1,Safe,100.0
Amarpur Village,Tripura,2023-07-30,WS_99040,Well,24.272284,91.745345,6.64,6.917,65.396,48.0,8.6,37.8,2.38,0.008,1.42,0.51,0.043,IoT Sensor,Agency_4,0,Safe,156.0
Naharlagun Village,Arunachal Pradesh,2023-08-14,WS_76679,Piped Supply,26.715865,89.077452,8.62,2.482,63.587,81.0,7.5,3.4,0.78,0.042,1.37,0.89,0.029,Water Testing Kit,Agency_5,1,Safe,
Resubelpara Rural,Meghalaya,2023-05-04,WS_54964,Piped Supply,25.878814,95.980806,6.51,64.869,977.494,2894.0,3.1,91.0,10.82,0.99,0.82,0.3,0.02,Water Testing Kit,Agency_5,0,High,
Tura Village,Meghalaya,2024-02-08,WS_91820,Pond,26.367577,93.510097,8.3,4.415,6.812,51.0,7.6,27.0,2.69,0.046,0.36,0.42,0.006,Water Testing Kit,Agency_1,1,Safe,
Imphal Rural,Manipur,2023-02-20,WS_99622,Tube Well,25.509407,89.640601,7.1,8.54,23.962,82.0,5.6,41.0,1.45,0.009,1.82,0.83,0.04,Water Testing Kit,Agency_7,0,Safe,41.0
Kohima Rural,Nagaland,2023-12-12,WS_90333,Tube Well,28.798705,91.028444,7.17,4.636,15.685,27.0,5.3,29.3,2.74,0.034,0.86,0.43,0.001,Water Testing Kit,Agency_6,1,Safe,40.0
Belonia Rural,Tripura,2023-09-09,WS_80629,River,26.476166,94.206499,6.63,7.83,4.913,11.0,7.5,9.2,0.69,0.044,0.03,1.31,0.018,IoT Sensor,Agency_4,0,Safe,
Singtam Village,Sikkim,2023-08-12,WS_51152,Well,27.86806,92.444235,7.17,4.412,5.871,88.0,7.2,40.8,2.34,0.045,1.82,0.79,0.009,Lab Analysis,Agency_2,1,Safe,100.0
Williamnagar Village,Meghalaya,2023-09-03,WS_90502,Well,24.172777,88.419916,7.12,4.782,19.22,64.0,8.4,28.8,0.53,0.012,0.21,0.85,0.01,Water Testing Kit,Agency_2,1,Safe,76.0
Shillong Rural,Meghalaya,2023-08-23,WS_81564,Piped Supply,28.057121,89.889679,6.7,2.256,24.06,21.0,8.2,27.3,0.59,0.039,1.38,0.6,0.037,Water Testing Kit,Agency_4,1,Safe,
Jowai Rural,Meghalaya,2024-01-23,WS_44585,River,27.054067,88.395677,7.67,0.946,33.479,35.0,8.3,15.8,1.4,0.011,1.12,1.23,0.047,IoT Sensor,Agency_5,1,Safe,
Tawang Rural,Arunachal Pradesh,2023-10-04,WS_56698,Well,28.32656,93.676121,5.3,57.941,2033.427,2953.0,3.4,97.9,7.81,1.63,1.05,0.75,0.031,Water Testing Kit,Agency_2,0,High,101.0
Senapati Rural,Manipur,2023-05-23,WS_42171,Spring,26.748568,96.576955,6.96,9.279,17.307,56.0,8.1,15.5,1.67,0.023,0.22,1.11,0.007,Water Testing Kit,Agency_9,0,Safe,
Phek Rural,Nagaland,2023-04-17,WS_52861,Piped Supply,23.734852,91.181721,7.69,8.349,22.536,37.0,8.8,12.0,1.26,0.033,0.25,0.98,0.036,IoT Sensor,Agency_4,0,Safe,
Pakyong Village,Sikkim,2023-07-11,WS_53828,Pond,23.048362,96.365714,8.06,0.758,49.141,18.0,5.2,10.0,0.26,0.031,0.97,1.48,0.023,Water Testing Kit,Agency_7,1,Safe,
Saitual Rural,Mizoram,2023-12-25,WS_39749,Spring,28.753805,91.460949,8.07,6.071,30.256,82.0,5.1,19.2,2.64,0.004,1.5,0.94,0.025,IoT Sensor,Agency_8,0,Safe,
Serchhip Village,Mizoram,2024-03-06,WS_91517,River,24.605447,89.982949,7.13,0.394,57.224,27.0,7.7,29.6,0.43,0.008,0.63,0.81,0.003,Water Testing Kit,Agency_1,1,Safe,
Nagaon Rural,Assam,2024-02-17,WS_84953,Spring,24.72023,93.944368,7.97,2.611,54.371,11.0,9.0,4.8,1.31,0.041,0.42,0.74,0.042,Lab Analysis,Agency_6,1,Safe,
Roing Village,Arunachal Pradesh,2023-04-14,WS_47807,Well,25.189671,88.516495,8.35,3.773,30.354,81.0,8.7,43.7,2.48,0.025,1.91,0.6,0.021,IoT Sensor,Agency_9,1,Safe,67.0
Gyalshing Rural,Sikkim,2023-08-25,WS_88853,Piped Supply,28.175031,90.446369,6.37,58.099,2447.222,4903.0,3.4,116.0,14.25,1.91,1.87,0.36,0.037,Water Testing Kit,Agency_9,0,High,
Tuensang Village,Nagaland,2023-08-03,WS_76285,Well,27.146203,88.584604,7.6,10.663,11.136,23.0,7.6,43.6,2.2,0.006,1.78,0.63,0.009,Water Testing Kit,Agency_4,0,Safe,120.0
Kiphire Village,Nagaland,2023-11-03,WS_15536,Pond,27.061891,92.434086,6.47,42.615,2289.495,4294.0,2.0,81.6,13.53,1.87,0.78,0.52,0.029,Lab Analysis,Agency_6,0,High,
Williamnagar Village,Meghalaya,2023-05-24,WS_58377,Tube Well,26.233518,89.569596,7.52,3.984,59.318,65.0,5.1,0.7,2.03,0.006,0.49,0.66,0.033,Water Testing Kit,Agency_3,1,Safe,27.0
Resubelpara Rural,Meghalaya,2023-12-06,WS_50842,Tube Well,28.574848,93.382959,6.78,6.032,57.234,40.0,5.2,5.6,1.15,0.025,0.98,1.11,0.047,IoT Sensor,Agency_1,0,Safe,94.0
Barpeta Village,Assam,2023-10-18,WS_21472,Tube Well,24.393056,91.013454,6.94,7.255,16.105,23.0,8.9,4.5,1.14,0.028,0.42,1.48,0.046,IoT Sensor,Agency_9,0,Safe,91.0
Teliamura Rural,Tripura,2023-11-17,WS_22682,Well,24.316954,95.347755,8.13,1.694,10.905,18.0,7.4,1.3,1.76,0.041,1.91,0.28,0.046,Water Testing Kit,Agency_1,1,Safe,14.0
Silchar Village,Assam,2023-12-31,WS_34440,River,25.170892,90.801965,6.04,57.571,2135.842,1415.0,2.4,156.2,9.9,0.53,1.47,0.4,0.038,Water Testing Kit,Agency_3,0,High,
Dharmanagar Rural,Tripura,2023-09-18,WS_67560,Tube Well,25.96247,93.537502,7.69,1.421,42.064,65.0,5.4,35.2,0.1,0.049,1.49,0.12,0.005,Lab Analysis,Agency_2,1,Safe,183.0
Ukhrul Village,Manipur,2023-05-31,WS_92605,Well,23.446623,93.523657,7.18,5.004,44.071,85.0,8.8,16.5,1.27,0.008,1.93,1.18,0.0,IoT Sensor,Agency_6,1,Safe,91.0
Jorethang Rural,Sikkim,2023-09-13,WS_47777,Spring,25.057198,88.92656,5.78,27.293,2302.296,4786.0,2.5,194.0,20.32,1.42,1.58,0.25,0.048,Water Testing Kit,Agency_5,0,High,
Baghmara Rural,Meghalaya,2023-05-07,WS_78794,River,27.14909,96.74089,5.99,74.628,1682.56,4266.0,3.3,130.3,12.1,0.95,0.91,1.5,0.009,IoT Sensor,Agency_1,0,High,
Guwahati Rural,Assam,2023-04-28,WS_52033,Tube Well,27.707941,94.23956,6.43,1.372,0.0,87.0,5.3,4.9,0.68,0.046,1.49,0.11,0.029,Water Testing Kit,Agency_3,1,Safe,24.0
Lawngtlai Village,Mizoram,2023-11-25,WS_12582,Tube Well,24.756321,88.4181,5.39,82.322,265.396,546.0,3.2,188.0,16.84,0.17,0.75,0.21,0.04,Water Testing Kit,Agency_5,0,High,102.0
Champhai Rural,Mizoram,2024-01-13,WS_85631,Tube Well,27.182398,90.014894,6.84,7.467,4.608,36.0,8.7,18.7,2.59,0.028,1.15,0.59,0.034,IoT Sensor,Agency_8,0,Safe,120.0
Jowai Rural,Meghalaya,2023-06-24,WS_65019,Tube Well,27.810119,92.360894,8.09,6.606,15.99,27.0,8.2,8.3,0.33,0.001,0.51,0.9,0.004,IoT Sensor,Agency_4,0,Safe,117.0
Amarpur Village,Tripura,2023-08-26,WS_17897,Pond,28.411826,96.156194,7.36,3.079,59.205,96.0,8.2,26.1,2.65,0.03,1.25,0.76,0.039,IoT Sensor,Agency_1,1,Safe,
Gangtok Rural,Sikkim,2023-11-26,WS_56859,Well,24.28076,88.214811,7.99,6.581,32.558,13.0,7.6,27.1,1.38,0.012,1.21,0.98,0.046,IoT Sensor,Agency_3,0,Safe,39.0
Naharlagun Village,Arunachal Pradesh,2023-08-20,WS_80930,Tube Well,25.027932,92.041661,5.3,86.697,911.234,3344.0,1.3,195.9,15.03,1.75,0.47,0.13,0.026,Water Testing Kit,Agency_1,0,High,70.0
Phek Rural,Nagaland,2023-09-23,WS_89530,Pond,28.253844,95.21829,7.29,9.264,11.924,7.0,5.4,43.7,0.27,0.033,0.82,1.04,0.041,Water Testing Kit,Agency_2,0,Safe,
Serchhip Village,Mizoram,2023-11-02,WS_25745,Piped Supply,26.133234,90.577747,6.91,4.802,36.418,49.0,5.7,13.2,0.08,0.034,1.51,0.64,0.033,IoT Sensor,Agency_5,1,Safe,
Phek Rural,Nagaland,2024-02-15,WS_99541,Tube Well,23.594969,92.001653,8.04,4.516,28.072,60.0,5.9,7.0,0.34,0.048,0.29,0.25,0.023,Water Testing Kit,Agency_8,1,Safe,98.0
Belonia Rural,Tripura,2023-08-17,WS_67523,Piped Supply,23.68941,89.322069,5.3,84.748,680.742,677.0,2.6,73.0,20.76,1.73,1.91,1.22,0.047,IoT Sensor,Agency_9,0,High,
Teliamura Rural,Tripura,2023-06-30,WS_59377,Well,25.60413,93.123926,8.02,6.536,63.276,75.0,5.6,11.3,1.39,0.02,0.32,0.48,0.035,Water Testing Kit,Agency_3,0,Safe,26.0
Singtam Village,Sikkim,2023-09-15,WS_61497,River,24.747786,96.321917,5.3,93.072,1895.948,1527.0,1.8,147.4,8.05,1.95,1.15,0.51,0.023,Lab Analysis,Agency_8,0,High,
Dimapur Village,Nagaland,2023-08-31,WS_29024,Piped Supply,27.728731,94.075241,6.04,122.201,379.601,4876.0,1.8,96.3,5.9,1.05,0.23,0.11,0.025,Lab Analysis,Agency_4,0,High,
Bishnupur Rural,Manipur,2023-10-30,WS_97017,Tube Well,24.003528,90.742694,6.65,2.549,48.529,67.0,8.1,39.3,0.82,0.049,1.91,0.13,0.012,Water Testing Kit,Agency_7,1,Safe,185.0
Pasighat Rural,Arunachal Pradesh,2023-10-08,WS_28714,Pond,23.354478,93.929055,5.3,49.086,2129.596,2666.0,1.6,175.3,10.39,1.63,1.03,1.22,0.049,IoT Sensor,Agency_3,0,High,
Roing Village,Arunachal Pradesh,2023-06-28,WS_58534,Piped Supply,26.199616,93.752226,7.87,5.764,39.296,4.0,6.8,24.8,2.0,0.015,1.03,1.01,0.045,Water Testing Kit,Agency_9,0,Safe,
Serchhip Village,Mizoram,2023-04-16,WS_84039,Tube Well,26.81501,89.818183,7.55,0.721,45.776,60.0,7.9,32.3,1.33,0.01,0.82,0.41,0.018,Lab Analysis,Agency_8,1,Safe,74.0
Gyalshing Rural,Sikkim,2024-02-11,WS_64299,Well,25.695304,95.555479,7.66,0.637,16.033,48.0,7.9,28.6,1.32,0.027,0.68,0.2,0.046,IoT Sensor,Agency_5,1,Safe,110.0
Thoubal Village,Manipur,2023-02-21,WS_74023,Well,25.511912,96.910578,6.19,0.124,51.231,75.0,8.0,15.9,2.1,0.013,0.22,0.28,0.026,IoT Sensor,Agency_8,1,Safe,99.0
Baghmara Rural,Meghalaya,2023-11-05,WS_70356,River,24.825596,89.444997,5.45,54.433,1997.837,1546.0,2.0,78.8,8.21,1.77,0.36,0.38,0.033,IoT Sensor,Agency_4,0,High,
Dibrugarh Rural,Assam,2023-08-14,WS_61851,Well,27.56446,95.910575,5.99,52.306,958.259,1343.0,1.5,174.3,6.23,1.05,0.39,0.12,0.019,IoT Sensor,Agency_9,0,High,109.0
Khliehriat Village,Meghalaya,2023-12-13,WS_27689,Pond,23.907714,89.709729,5.36,67.712,711.163,1288.0,3.1,98.4,24.72,0.65,0.74,0.79,0.028,Water Testing Kit,Agency_4,0,High,
Phek Rural,Nagaland,2023-01-21,WS_65993,Piped Supply,24.742949,91.265947,7.95,7.312,30.971,30.0,5.4,13.0,1.09,0.032,0.53,1.1,0.049,IoT Sensor,Agency_3,0,Safe,
Karimganj Village,Assam,2023-08-09,WS_71016,Well,24.459818,96.546788,6.66,6.674,59.299,17.0,6.0,38.6,1.76,0.029,1.45,0.14,0.011,Water Testing Kit,Agency_6,0,Safe,50.0
Udaipur Village,Tripura,2023-12-10,WS_49972,Spring,25.04778,94.980292,7.01,4.926,56.878,74.0,7.8,0.5,0.6,0.011,1.86,0.47,0.023,IoT Sensor,Agency_3,1,Safe,
Imphal Rural,Manipur,2023-04-09,WS_19722,Well,24.266018,94.938486,7.62,2.419,27.964,57.0,8.0,14.4,0.81,0.037,0.32,0.88,0.014,Water Testing Kit,Agency_6,1,Safe,139.0
Jowai Rural,Meghalaya,2023-03-18,WS_35229,River,28.300487,93.068586,5.49,90.413,671.417,734.0,3.6,67.2,23.26,0.62,1.12,0.42,0.046,IoT Sensor,Agency_2,0,High,
Namchi Village,Sikkim,2023-07-11,WS_13031,Tube Well,26.010727,91.455916,5.3,105.995,1293.823,3034.0,1.7,178.6,13.58,1.61,0.31,0.19,0.002,Lab Analysis,Agency_2,0,High,109.0
Champhai Rural,Mizoram,2023-06-27,WS_90600,Well,28.954554,93.787181,7.88,9.015,26.34,75.0,5.2,32.5,0.12,0.017,0.0,0.19,0.012,Lab Analysis,Agency_5,0,Safe,108.0
Phek Rural,Nagaland,2023-10-21,WS_31735,Piped Supply,28.106038,92.603518,6.46,5.207,56.926,99.0,5.5,43.3,1.15,0.037,1.24,1.38,0.037,IoT Sensor,Agency_1,1,Safe,
Imphal Rural,Manipur,2023-11-23,WS_83486,Piped Supply,24.356585,89.423844,8.41,0.395,29.005,56.0,6.4,30.1,2.7,0.035,1.46,0.34,0.021,Water Testing Kit,Agency_1,1,Safe,
Gyalshing Rural,Sikkim,2023-06-07,WS_78769,Pond,25.893919,95.605507,7.05,0.631,4.367,26.0,5.5,16.8,0.52,0.017,0.78,0.68,0.017,Water Testing Kit,Agency_3,1,Safe,
Shillong Rural,Meghalaya,2023-06-15,WS_84959,Tube Well,26.144386,95.360865,7.77,4.298,6.579,82.0,6.7,16.2,0.69,0.027,1.29,1.27,0.038,Lab Analysis,Agency_5,1,Safe,175.0
Kiphire Village,Nagaland,2023-04-27,WS_22998,Well,23.912944,89.956518,6.62,7.112,8.909,91.0,7.7,15.8,1.18,0.014,1.51,0.39,0.04,IoT Sensor,Agency_4,0,Safe,123.0
Udaipur Village,Tripura,2023-11-20,WS_84737,Pond,25.309711,88.399131,5.3,67.188,1460.796,4122.0,2.2,87.5,21.61,1.33,0.13,1.39,0.038,IoT Sensor,Agency_5,0,High,
Zunheboto Village,Nagaland,2024-02-05,WS_44424,Tube Well,26.293751,88.718473,6.51,10.752,71.613,42.0,5.4,33.5,0.18,0.031,0.3,0.14,0.026,Water Testing Kit,Agency_1,0,Safe,104.0
Aizawl Rural,Mizoram,2023-07-13,WS_17752,Tube Well,28.21782,90.521675,6.29,0.713,30.153,8.0,6.8,8.5,2.41,0.018,0.28,1.23,0.01,IoT Sensor,Agency_9,1,Safe,47.0
Jorethang Rural,Sikkim,2023-10-16,WS_23507,Tube Well,23.689766,93.475416,6.66,0.771,31.577,47.0,5.5,21.6,2.03,0.024,1.46,0.4,0.019,IoT Sensor,Agency_9,1,Safe,56.0
Tamenglong Rural,Manipur,2023-08-07,WS_62412,Pond,28.89756,88.442569,5.3,46.659,1152.23,879.0,1.8,162.2,11.88,0.49,0.57,1.26,0.026,IoT Sensor,Agency_8,0,High,
Shillong Rural,Meghalaya,2023-06-05,WS_81564,Piped Supply,28.057121,89.889679,6.48,2.321,27.439,21.0,8.2,27.3,0.59,0.039,1.38,0.6,0.037,Water Testing Kit,Agency_4,1,Safe,
Thoubal Village,Manipur,2024-01-10,WS_55070,River,25.948684,89.152707,5.59,58.832,1131.48,1125.0,1.5,166.7,17.38,0.11,0.77,0.22,0.014,Lab Analysis,Agency_5,0,High,
Phek Rural,Nagaland,2023-11-26,WS_89530,Pond,28.253844,95.21829,7.43,9.47,11.891,7.0,5.4,43.7,0.27,0.033,0.82,1.04,0.041,Water Testing Kit,Agency_2,0,Safe,
Lawngtlai Village,Mizoram,2023-02-01,WS_54870,Piped Supply,26.968296,91.440224,6.77,8.325,31.737,20.0,7.7,36.1,2.28,0.03,0.83,1.29,0.036,Water Testing Kit,Agency_3,0,Safe,
Tezpur Village,Arunachal Pradesh,2023-10-15,WS_64825,Pond,25.69359,92.473719,5.83,77.075,1908.597,1606.0,3.3,191.5,14.68,0.33,1.53,1.03,0.04,Water Testing Kit,Agency_2,0,High,
Amarpur Village,Tripura,2024-02-22,WS_74217,Well,25.077739,96.096704,6.8,3.15,24.298,58.0,5.5,31.4,1.34,0.008,1.39,0.99,0.003,Water Testing Kit,Agency_1,1,Safe,131.0
Roing Village,Arunachal Pradesh,2023-11-26,WS_35888,Pond,26.506505,93.680765,8.25,7.344,58.485,35.0,5.6,30.9,1.91,0.013,0.87,0.66,0.031,Lab Analysis,Agency_7,0,Safe,
Serchhip Village,Mizoram,2023-07-21,WS_31819,Piped Supply,28.580105,89.951042,8.11,10.258,51.426,24.0,7.8,38.0,1.21,0.031,1.07,1.12,0.017,IoT Sensor,Agency_2,0,Safe,
Imphal Rural,Manipur,2023-10-19,WS_33516,Piped Supply,23.798723,89.231815,7.44,5.035,49.116,19.0,5.1,24.3,1.99,0.029,0.38,1.21,0.029,Water Testing Kit,Agency_7,1,Safe,
Resubelpara Rural,Meghalaya,2023-08-22,WS_33261,Well,26.529257,91.528288,6.78,0.722,0.0,61.0,7.5,11.9,0.84,0.017,0.59,1.24,0.005,IoT Sensor,Agency_7,1,Safe,158.0
Aizawl Rural,Mizoram,2024-01-15,WS_60033,Tube Well,27.257704,92.802707,7.57,4.333,16.176,11.0,6.2,11.9,1.01,0.023,0.19,0.9,0.007,IoT Sensor,Agency_6,1,Safe,88.0
